drug_id,drug_name,condition,reason,source
drug_000057,Acetaminophen Oxycodone,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000058,Acetaminophen Pheniramine Phenylephrine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000059,Acetaminophen Phenyltoloxamine Salicylamide,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000060,Acetaminophen Tramadol,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000061,Acetohydroxamic Acid,pregnancy,Pregnancy category X,drugs_com
drug_000063,Achromycin V,pregnancy,Pregnancy category D,drugs_com
drug_000069,Acitretin,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000069,Acitretin,pregnancy,Pregnancy category X,drugs_com
drug_000070,Aclasta,pregnancy,Pregnancy category D,drugs_com
drug_000081,Acrivastine Pseudoephedrine,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000082,Actamin,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000085,Acticlate,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000085,Acticlate,pregnancy,Pregnancy category D,drugs_com
drug_000086,Actifed Cold And Allergy,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000087,Actimol Children S,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000088,Actimol Infant,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000089,Actiprofen,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000090,Actiq,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000094,Actoplus Met,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000095,Actos,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000102,Adasuve,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000103,Addaprin,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000104,Adderall,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000105,Adderall Xr,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000106,Adhansia Xr,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000107,Adipex P,concurrent alcohol use,Alcohol interaction flag,drugs_com
drug_000107,Adipex P,pregnancy,Pregnancy category X,drugs_com
